ident	name	type	frequency_khz	latitude_deg	longitude_deg
ALP	Alexandroupolis	NDB	351	40.85749817	25.94420052
ALP	Alpine	NDB	245	42.23870087	-76.76399994
ALR	Alger	VOR-DME	112500	36.69110107	3.215559959
ALS	Alsie	VOR	114700	54.90539932	9.993379593
ALS	Alamosa	VORTAC	113900	37.3492012	-105.8160019
ALS	Agadir	NDB	396	30.32029915	-9.319439888
ALT	Alicante	VOR-DME	113800	38.2682991	-0.5701140165
ALU	Al Hoceima	NDB	401	35.18119812	-3.844559908
ALU	Alliance	NDB	380	42.04320145	-102.7990036
ALW	Walla Walla	VOR-DME	116400	46.0870018	-118.2929993
ALX	Alexandroupolis	VOR-DME	113800	40.85499954	25.9571991
AM	Ambriz	NDB	395	-7.833330154	13.10000038
AM	Arba Minch	NDB	275	6.057690144	37.60240173
AM	Amahai	NDB	278	-3.347500086	128.9259949
AM	Malacca	NDB	298	2.266560078	102.2529984
AM	Markovo	NDB	325	64.66829681	170.3099976
AM	Surgut	NDB	325	61.34329987	73.50669861
AM	Kazan	NDB	475	55.63169861	49.20830154
AM	Verkhneimbatsk	NDB	420	63.16669846	88
AM	Almeria	NDB	284	36.87580109	-2.239909887
AM	Picny	NDB	388	27.86120033	-82.54579926
AM	Pande	NDB	251	35.14649963	-101.8050003
AM	Gialam	NDB	294	20.98889923	105.8610001
AMB	Amberley	TACAN	114700	-27.64170074	152.7160034
AMB	Santiago	VOR-DME	116100	-33.41970062	-70.78440094
AMB	Amboise	VOR-DME	113700	47.42890167	1.064440012
AMB	Amberley	NDB	359	-27.64889908	152.723999
AMB	Ambato	NDB	360	-1.213240027	-78.57659912
AMB	Amboise	NDB	341	47.41820145	1.041000009
AME	Kasari	VOR-DME	113950	28.43470001	129.7109985
AME	Amendola	NDB	334	41.5	15.83780003
AMF	Ambler	NDB-DME	403	67.10679626	-157.8580017
AMG	Alma	VORTAC	115100	31.53650093	-82.50810242
AMK	Andamooka	NDB	206	-30.45350075	137.1670074
AML	Armel	VORTAC	113500	38.93460083	-77.46669769
AML	Andravida	TACAN	133400	37.92969894	21.28470039
AML	Amalias	NDB	367	37.77470016	21.34670067
AML	Agadir	NDB	402	30.32360077	-9.454719543
AMN	Ambon	VOR-DME	115500	-3.614919901	128.1860046
AMN	Amman	VOR-DME	116300	32.0041008	36.06600189
AMN	Almeria	NDB	310	36.84840012	-2.379159927
AMN	Alma	NDB	329	43.32339859	-84.78520203
AMP	Amapa	NDB	275	2.068830013	-50.86050034
AMR	Almeria	VOR-DME	114100	36.83319855	-2.259419918
AMS	Amsterdam	VOR-DME	113950	52.33280182	4.705560207
AMT	West Union	NDB	359	38.85589981	-83.563797
AMU	Amberieu	TACAN	116300	45.98860168	5.331250191
